epoch,train_mse,val_mse,val_mae
1,0.2633191436349202,0.2939191369719528,0.42329321233429673
2,0.15751562307235034,0.20288244292776692,0.34629753599434393
3,0.11655462931704651,0.1515846063281057,0.3002811099633177
4,0.09569819540703396,0.15161894742368986,0.3019834115473692
5,0.08273877755723205,0.10702121800843487,0.24833971424623247
6,0.07172058713080312,0.12183393038331501,0.27240297078703607
7,0.061761253518592345,0.10744026906718303,0.25415737607250755
8,0.05508882073561806,0.11775813352020201,0.272190092827834
9,0.050522109778498435,0.08631579996950353,0.23148727008784883
10,0.0459567977335191,0.0713960660858857,0.20404104241389598
11,0.04175630840570757,0.05331331847057169,0.1757389595591857
12,0.03902979994362569,0.058413451316387095,0.1873059403975604
13,0.03593851851378706,0.05583940033499713,0.1811513845721744
14,0.033798655674293174,0.05675236181337006,0.18506908963454258
15,0.03074945331298639,0.046075717784446704,0.16458879327733955
16,0.029375313943718805,0.042368600285218175,0.15899165050431074
17,0.027316008012866808,0.0453767349876177,0.16587536522511687
18,0.025467629794939425,0.03978842239920029,0.1545824475548259
19,0.024119065108215793,0.036827638231631876,0.14784147013566787
20,0.02334014886309227,0.040997618337950646,0.1572451491262227
21,0.021941084347663602,0.03116676652822383,0.1349288067449208
22,0.020886460152586866,0.03587195667425609,0.14764257615598292
23,0.019866388892639735,0.029098981936882005,0.1303400570743266
24,0.018922615487524004,0.03142309860380237,0.1361566876668973
25,0.01838631062405851,0.03461031950249964,0.14413589218619
26,0.01746744353121723,0.0255388732779457,0.1215060058103318
27,0.016323305586433953,0.035658406432702947,0.14821385240223142
28,0.016441477653854147,0.02723413957082869,0.1261055267778347
29,0.015591649922041055,0.026904751907236523,0.1257323776829145
30,0.015187619314643255,0.034168705395453844,0.1460203259561456
31,0.014953112826810548,0.021892239053269587,0.11333801764045243
32,0.013906117318536786,0.022405242503969566,0.11395088379639857
33,0.013633685669713881,0.02923006325023925,0.13461680192881054
34,0.01305570217360702,0.022009714469763516,0.11368492735203987
35,0.012668599945003356,0.02212335454855437,0.11403237700890595
36,0.012297289301133375,0.02076610417565758,0.10922317775320152
37,0.012258903631775475,0.02252994239362183,0.11552121901123985
38,0.012098093792542144,0.030926385485669446,0.14062362616373605
39,0.011655686637166715,0.020357071509385323,0.10911926284328764
40,0.011151747909609235,0.02301437843331574,0.11095168373138817
41,0.011104449529020266,0.020663109013522737,0.10952118641646968
42,0.010796404669553481,0.01947516242562836,0.10670649270020721
43,0.010678624539020106,0.017904028548183293,0.10193519470916378
44,0.010494390788240292,0.024372376194607453,0.12375328089404906
45,0.010136362183507358,0.01688229159542356,0.09828817777874947
46,0.009853451774290242,0.01726774079536504,0.09990945362055201
47,0.009536940238767354,0.01675076137134481,0.0990766529496416
48,0.009652981834007332,0.018081858706321226,0.10268381279214464
49,0.009404215971874273,0.018696527856074004,0.10438905632988826
50,0.009158710555893073,0.01597357047749506,0.09598623724930659
51,0.008966977606139332,0.01581558636990124,0.09495366568194702
52,0.008688899735120503,0.01542859678534314,0.09293255594211698
53,0.008800745305511908,0.01625167595030818,0.09627185543587764
54,0.008343947727865585,0.017397404715918822,0.10012994382593379
55,0.008182207724960911,0.017599844772188997,0.10083902548242032
56,0.008336978783660296,0.014788881602577412,0.09194333318412773
57,0.008147914911579245,0.015682061295721462,0.09407345273485063
58,0.008216910218906965,0.015375425776993929,0.09416306961897562
59,0.007972037495987856,0.013852715656260398,0.088618635283892
60,0.007791112970972527,0.015265977425713026,0.09237369030957775
61,0.00771351690949186,0.018007834247836443,0.10120936157342027
62,0.007590891248586049,0.014465343761515164,0.09109626282503379
63,0.007521251537578328,0.02009956691641058,0.11056249165201483
64,0.0073818679540414885,0.01503757714341378,0.0930033667339222
65,0.007451688807325565,0.017047827178245746,0.09959183883331679
66,0.007384641726416504,0.01483189670133689,0.0925343324219079
67,0.007161318010132415,0.01542603090174253,0.09363361986042627
68,0.00709970908334588,0.013985698643895561,0.08941898950604336
69,0.006857491316884439,0.013461211702104356,0.08740674876240992
70,0.007056497467870693,0.013964254263571204,0.08995495356068665
71,0.006798488418324993,0.01349249552543271,0.08665174941518006
72,0.0067172843196522496,0.013743987981650586,0.08822993212388414
73,0.006693358133590218,0.014012542086338984,0.08956880978758726
74,0.006686052523357184,0.01302781563841913,0.086256910717142
75,0.006440743905239631,0.012791297953400163,0.08471108512540189
76,0.006478539742519426,0.01538046913154991,0.09482252733574213
77,0.006394139455499967,0.013240391901214945,0.08718238441457371
78,0.0064228390285328545,0.015956976531633114,0.09776408617844377
79,0.006337822477649241,0.01292339452069478,0.08535708288055562
80,0.006176512332647802,0.012954251865340894,0.08547807220908596
81,0.00624777608115642,0.014587739511138663,0.09393253968249109
82,0.006503016693517708,0.014264139311399098,0.09045792025072097
83,0.006029685883923253,0.01218733573387242,0.08271324314728867
84,0.006047916100887583,0.017709380343612215,0.10305562063449113
85,0.005888394765798745,0.017798807563962515,0.10247468172041437
86,0.005889828741454487,0.011835347232054672,0.08114609792674798
87,0.0060257482094553385,0.014310098517645411,0.09140655502926398
88,0.005897522932702256,0.01250133708690017,0.08351427927609842
89,0.0058167303766695645,0.012636904837723801,0.08293709679862861
90,0.005756605903766887,0.012682025108481003,0.08515119308416863
91,0.005715631616585794,0.013329216833554905,0.0875256426389234
92,0.005753159816046207,0.011937554261375164,0.08151503198966698
93,0.0055286489724076454,0.012494463809839694,0.08380811223376557
94,0.005698634314617802,0.011903740402428116,0.08280897264423004
95,0.00544617090446556,0.012975676262414228,0.08530334761900284
96,0.005456357817778819,0.011229780663283494,0.07900193985345157
