epoch,val_mae
1,0.17570358493328095
2,0.1494993233203888
3,0.13992975177764894
4,0.11815368580818177
5,0.1024305673122406
6,0.10595260126590729
7,0.09880418207645417
8,0.09260671947002411
9,0.08135114891529083
10,0.08478509421348572
11,0.08897363204956055
12,0.08014549059867859
13,0.07922092418670654
14,0.0786742653131485
15,0.07570414824485779
16,0.07212958979606629
17,0.07297296199798584
18,0.07212875015735626
19,0.07643177876472473
20,0.07604531145095825
21,0.06894882860183715
22,0.07214871699810028
23,0.0709206458568573
24,0.07004929013252258
25,0.07108848559856415
26,0.07684479184150696
27,0.06970711896419525
28,0.07036995975971222
29,0.06913361361026764
30,0.06308343234062194
31,0.07686417307853699
32,0.0652055935382843
33,0.06324287977218628
34,0.06830353150367736
35,0.06377129180431367
36,0.06411466605663299
37,0.07197523043155671
38,0.06490433640480041
39,0.06533882071971893
40,0.06418078320026398
41,0.06482755539417266
42,0.0642968752861023
43,0.06394482667446136
44,0.06349034223556518
45,0.06173291065692901
46,0.07518517923355103
47,0.06037738163471222
48,0.0628173838853836
49,0.06313320622444153
50,0.062197544836997985
51,0.08723553559780121
52,0.05966241977214813
53,0.06319941518306732
54,0.06110407304763794
55,0.06554243092536927
56,0.05907057783603668
57,0.06129714798927307
58,0.06080413887500763
59,0.06156106719970703
60,0.06361496834754944
61,0.06293330025672912
62,0.06023328709602356
63,0.05883730573654175
64,0.06683451435565949
65,0.06460927772521972
66,0.061010524415969845
67,0.05779409098625183
68,0.06328214032649994
69,0.06173679566383362
70,0.06497456481456756
71,0.0629385157585144
72,0.05931451518535614
73,0.06236399149894714
74,0.06250512714385986
75,0.057552456307411196
76,0.05961453320980072
77,0.05828827362060547
78,0.06229407918453216
79,0.05792411472797394
80,0.061268171548843384
81,0.058206594109535215
82,0.058203377985954284
83,0.06048396615982056
84,0.058057944917678836
85,0.061334849381446836
86,0.06060633499622345
87,0.059816727423667906
88,0.05927488148212433
89,0.057158511185646056
90,0.05903118596076965
91,0.058537797093391415
92,0.060932049536705016
93,0.06829788701534271
94,0.05804039697647095
95,0.07052238206863404
96,0.05944943566322327
97,0.06209720339775086
98,0.059952637934684756
99,0.07635597541332245
100,0.05889006216526031
101,0.05657440497875214
102,0.05736380567550659
103,0.06000966441631317
104,0.057535649847984316
105,0.05771983830928803
106,0.05706286551952362
107,0.06083296656608581
108,0.05670209548473358
109,0.05737516946792603
110,0.056210670280456544
111,0.06862998151779175
