epoch,train_mse,val_mse,val_mae
1,0.0977172974725543,0.05703806807398796,0.17570369784832002
2,0.031000970051664224,0.03841401689350605,0.14949960741996765
3,0.021071435265703407,0.03295993988513946,0.13992866747379304
4,0.015961136545647226,0.024111893093585968,0.11815240480899811
5,0.012750858360119702,0.01832051442861557,0.1024304708480835
6,0.01078333652771288,0.019637380954623224,0.10595212483406066
7,0.009670580657950815,0.016873151317238808,0.0988031542301178
8,0.008884009753550972,0.01565776946246624,0.09259595534801483
9,0.007507791544443122,0.011880974705517291,0.08135072886943817
10,0.007148610200411646,0.013115841871500016,0.08474688265323639
11,0.006040199081880248,0.013876458652317524,0.08888675434589385
12,0.006154377217623117,0.011532557009160518,0.08019789197444915
13,0.005395986476664599,0.011599386928230523,0.07908798596858978
14,0.005428808100620116,0.01168392486870289,0.07845912725925445
15,0.004880695598002373,0.010288049380481242,0.07501250009536743
16,0.004990671939536115,0.010577749055624008,0.07453806474208832
17,0.004805671133515863,0.010482518013566733,0.07427925686836243
18,0.004416268085355023,0.009883231315016746,0.07308608088493347
19,0.00446197010633429,0.011034772427380084,0.07621962959766387
20,0.004215133235415738,0.010835644238442183,0.07649653840065003
21,0.003867137676487899,0.008964973475039006,0.07029256057739258
22,0.0037368259409921874,0.009077101656794548,0.06911523756980896
23,0.0036474052237753327,0.009463863175362349,0.07110390686988831
24,0.0037457421648005736,0.008545438217371703,0.06668090388774872
25,0.003572501471527268,0.008860615499317647,0.06992671985626221
26,0.0034068514824501053,0.009974859367311,0.07455291366577148
27,0.0035208024013200605,0.009143505130708218,0.06809669206142425
28,0.00341597800915769,0.009435161938518287,0.07214010283946991
29,0.003247968029599342,0.008951174107193947,0.06967543516159058
30,0.003149536943223622,0.007683644791692495,0.06344500758647918
31,0.003111892786630612,0.010516141165792942,0.07284858117103576
32,0.0032621825550218663,0.007962796548008919,0.06445635228157043
33,0.003105245211754368,0.007806747598946094,0.0635898977279663
34,0.003021610069230087,0.008202915673702954,0.06609539041519165
35,0.0031027736137966932,0.007512599862366915,0.06271414692401886
36,0.0027651805314309968,0.008229240705072879,0.06509557614326478
37,0.003021983072071165,0.009350296898186207,0.07122689259052277
38,0.0028881004340550217,0.008593087740242481,0.06710249118804931
39,0.0027418733631267493,0.007930208493769169,0.06458400497436523
40,0.002867789114200952,0.007787065794318915,0.06381837062835694
41,0.002692168048094239,0.007881071235239507,0.0635536449432373
42,0.002604603483545031,0.008445186959207058,0.06556859982013702
43,0.0026867110124183646,0.00791035705730319,0.06405311346054077
44,0.002694637892829667,0.007776625650376082,0.06409502954483032
45,0.002824132614765218,0.00726905399337411,0.061814488458633424
46,0.0026537327589606407,0.010372182474285363,0.07462020659446716
47,0.0027891518023547253,0.007367695289105177,0.061829098892211914
48,0.002568121353308966,0.007768431840837002,0.06337150733470917
49,0.002379680959515016,0.00802200960740447,0.06384969551563263
50,0.0024950512275470666,0.007125078125670552,0.060868976283073424
51,0.0025493489385969193,0.023451692977547647,0.11742804372310639
52,0.002561967502842823,0.007249307879433036,0.06256472039222717
53,0.002456550438084876,0.006923729095607996,0.05983565189838409
54,0.0023369493381812517,0.008770167414098978,0.0701418467283249
55,0.0023861839426961304,0.00744998007491231,0.0625328516960144
56,0.002267140753646519,0.007352265635132789,0.06164030680656433
57,0.0023536470194261937,0.007619704483449459,0.06302330005168914
58,0.0022958858006462287,0.00713071256056428,0.06050523498058319
59,0.0024143574180025876,0.007748339304327965,0.06398213715553283
60,0.0023495059948175547,0.008299233432114124,0.0663734526872635
61,0.0023208160101180803,0.007724235922843218,0.06319346578121185
62,0.0023057052689352863,0.006905416955053806,0.060233579635620114
63,0.002247748268237486,0.007185183003172279,0.06132110686302185
64,0.0021260402212133285,0.006957832469791174,0.06042673807144165
65,0.0023671453089753043,0.00828152856528759,0.06541783924102783
66,0.002219707158760087,0.008532741697132588,0.06621774036884308
67,0.0021679532973099824,0.007162543565779924,0.061463095688819885
68,0.0021290351043903584,0.007425029297918081,0.06125900480747223
69,0.0022212657106396626,0.00820011344999075,0.06373358905315399
70,0.0012198607291492778,0.006024487162381411,0.05556844811439514
71,0.001155749652563588,0.005733092921972275,0.05295790400505066
72,0.0011326217188910837,0.005872304507344961,0.05316408362388611
73,0.0010698673687499023,0.00569509197100997,0.05264196245670318
74,0.0010776303785222034,0.005752118479460478,0.05222196409702301
75,0.0010381635020312117,0.005625750396028161,0.052870024490356445
76,0.0010857250534143685,0.005706845631077886,0.05258487613201141
77,0.001053963654114381,0.005670089043304324,0.05254884488582611
78,0.0010822990996611948,0.005728118432685733,0.052509184527397154
79,0.001033671968280842,0.005689224437251687,0.052367737221717836
80,0.001039814258089266,0.00567499089166522,0.05202995581626892
81,0.0010208766293752433,0.005712820019572973,0.05323035838603973
82,0.0010469436293406899,0.005665227025002241,0.051966330337524416
83,0.0010296876103874815,0.006235836256295443,0.05642686922550202
84,0.0010846722448915038,0.005731834680587054,0.05292971932888031
85,0.0010705783493865791,0.005783240878582001,0.053294727683067325
86,0.001021228189809114,0.005835939720645547,0.0530239408493042
87,0.001009146050429241,0.005962633675336838,0.05420650606155396
88,0.0009906800573300494,0.00562910792902112,0.052041849160194394
89,0.0009986237860312853,0.005636452256515622,0.05237522587776184
90,0.001012116057570736,0.00574093557074666,0.052809157609939573
91,0.0010320685048351838,0.005700801337510347,0.05263736114501953
92,0.0010403387764847986,0.005901689295098185,0.053661913061141965
93,0.0010628698500501545,0.005995517135411501,0.054130681490898135
94,0.0010867513099988848,0.005867520030960441,0.05336672010421753
95,0.0010267595182469592,0.006078783693164587,0.05469947016239166
96,0.0009890620644001545,0.005915282052010298,0.05312236840724945
97,0.0010302855376026928,0.006083179119974374,0.05480396497249603
98,0.0009779138671302827,0.0057455044731497765,0.05241829948425293
99,0.0006053767022704538,0.005417031647637486,0.05006061403751373
100,0.0005634534168034287,0.0053150187749415635,0.04961963984966278
101,0.0005572236929997507,0.005306029356643558,0.04955202090740204
102,0.000548556404172843,0.005202558187395334,0.048997727298736575
103,0.0005411924706089126,0.005329176157712936,0.04957549157142639
104,0.0005421852449398206,0.0053903507232666015,0.050103279304504394
105,0.0005438860785013474,0.005407846710085869,0.05012162218093872
106,0.0005460522730936905,0.005424166714400053,0.04953830809593201
107,0.000556549858228582,0.005391551326587796,0.04956181390285492
108,0.000540373410383342,0.00537259809859097,0.049601538848876955
109,0.0005335650881223524,0.005422099331021309,0.049849216866493226
110,0.0005454587416406137,0.0053294795081019405,0.049394859790802
111,0.0005251372815919637,0.005442206039652228,0.050238543128967285
112,0.000521360410973221,0.005394663358107209,0.05008838038444519
113,0.0005460259226818595,0.005379366445168853,0.04979828238487244
114,0.000528618567457216,0.0055004886090755465,0.0500807466506958
115,0.0005270166311734233,0.0053851826682686805,0.04984100363254547
116,0.0005395951933680607,0.0054157344799488786,0.0496037522315979
117,0.0005349655854939268,0.0057619728162884715,0.052223203730583194
118,0.0005262388149649263,0.0055813351836055515,0.050795555019378665
119,0.0003657070899466271,0.005264499765262008,0.048651430201530455
120,0.0003555361273821244,0.0052688632905483245,0.04860028924942016
121,0.00034766372075636974,0.00523909249342978,0.04842726485729217
122,0.0003453976152770103,0.005305581258609891,0.04868795299530029
123,0.0003438210151308718,0.005341812676936388,0.04924437205791474
124,0.00034564501171227834,0.005358313255384564,0.04892416706085205
125,0.0003396888730606038,0.005274582406133413,0.048519245982170105
126,0.0003430451137656645,0.005391220894828439,0.04935560564994812
127,0.000340232232085979,0.0053455899607390165,0.04879259994029999
128,0.0003397986457718128,0.005335162761434913,0.048652970933914186
129,0.0003373427642226472,0.005358943105116486,0.0491923556804657
