epoch,step,train_gap_MAE,train_loss
0,9,6.643497943878174,52.005638122558594
0,19,3.4225502014160156,13.757396697998047
0,29,1.3818964958190918,2.699266195297241
0,39,0.8646676540374756,1.1137512922286987
0,49,0.5889605283737183,0.5367580652236938
0,59,0.8784109354019165,1.003520131111145
0,69,0.845100462436676,1.3037611246109009
0,79,0.9247109889984131,1.400622844696045
0,89,0.6109206676483154,0.651813268661499
0,99,0.6474812626838684,0.8510385751724243
0,109,0.652797520160675,0.6197112798690796
0,119,0.7601155042648315,0.8993226885795593
0,129,0.7240466475486755,0.7449736595153809
0,139,0.7943358421325684,0.9633917212486267
0,149,0.7558016777038574,0.7780838012695312
0,159,0.6514182090759277,0.6422634124755859
0,169,0.661364734172821,0.6932997703552246
0,179,0.49978435039520264,0.5970034003257751
0,189,0.8417190909385681,0.9899588823318481
0,199,0.6919394135475159,0.7197825312614441
0,209,0.6985776424407959,0.7621749639511108
0,219,0.467373251914978,0.3086693584918976
0,229,0.5483528971672058,0.49820324778556824
0,239,0.5615345239639282,0.607763409614563
0,249,0.47517693042755127,0.3797723650932312
0,259,0.618858814239502,0.5932358503341675
0,269,0.6188085675239563,0.7680712938308716
0,279,0.6783957481384277,0.8079816102981567
0,289,0.6421031355857849,0.5523667931556702
0,299,0.6019853353500366,0.5351049900054932
0,309,0.6001457571983337,0.5753308534622192
0,319,0.8199870586395264,1.1233689785003662
0,329,0.6839958429336548,0.8348956108093262
0,339,0.5080163478851318,0.49224889278411865
0,349,0.6359918117523193,0.6087440848350525
0,359,0.6560028791427612,0.5891703963279724
0,369,0.7419868111610413,0.877132773399353
0,379,0.6375997066497803,0.6438708305358887
0,389,0.7045087814331055,0.8270131349563599
0,399,0.525055468082428,0.4660128951072693
0,409,0.6032775044441223,0.6958122849464417
0,419,0.687139630317688,0.7542879581451416
0,429,0.6391496658325195,0.6394189596176147
0,439,0.6071364879608154,0.6233067512512207
0,449,0.7179255485534668,0.8418484926223755
0,459,0.5769927501678467,0.5527472496032715
0,469,0.6960117816925049,0.6585341095924377
0,479,0.5864498019218445,0.629149317741394
0,489,0.3750438690185547,0.21195274591445923
0,499,0.5336976051330566,0.46846652030944824
0,509,0.6464354395866394,0.679546594619751
0,519,0.5112705230712891,0.5925912857055664
0,529,0.6703274250030518,0.6883937120437622
0,539,0.5933126211166382,0.48924949765205383
0,549,0.5156955718994141,0.4436821937561035
0,559,0.5378749370574951,0.5835387110710144
0,569,0.8942127823829651,1.2778608798980713
0,579,0.6530147194862366,0.7103173136711121
0,589,0.8050661087036133,1.0350432395935059
0,599,0.4865592122077942,0.4562736749649048
0,609,0.4232482612133026,0.41857123374938965
0,619,0.6161677837371826,0.6022510528564453
0,629,0.361003577709198,0.21393762528896332
0,639,0.604712724685669,0.5622132420539856
0,649,0.4918211102485657,0.35322242975234985
0,659,0.549538791179657,0.5082459449768066
0,669,0.5195046067237854,0.4199542999267578
0,679,0.6430966854095459,0.8253751993179321
0,689,0.5373376607894897,0.4478674829006195
0,699,0.4860503673553467,0.40554624795913696
0,709,0.6479257345199585,0.5724058151245117
0,719,0.5844775438308716,0.9682804942131042
0,729,0.4448733925819397,0.3224238157272339
0,739,0.5301912426948547,0.42876866459846497
0,749,0.46699509024620056,0.35044217109680176
0,759,0.567874550819397,0.4788660705089569
0,769,0.4326649308204651,0.30494993925094604
0,779,0.43052345514297485,0.2928594648838043
0,789,0.854103147983551,0.9490683078765869
0,799,0.6544346809387207,0.5798003673553467
0,809,0.5072345733642578,0.3621613085269928
0,819,0.6162818074226379,0.5355027914047241
0,829,0.5882678031921387,0.7844105958938599
0,839,0.5288774967193604,0.4613119959831238
0,849,0.6667742729187012,0.6407724022865295
0,859,0.5685686469078064,0.5044062733650208
0,869,0.7354116439819336,0.7402553558349609
0,879,0.4726096987724304,0.3789823353290558
0,889,0.48596781492233276,0.3964521884918213
0,899,0.47562581300735474,0.41375887393951416
0,909,0.6784526109695435,0.6601752638816833
0,919,0.5087611675262451,0.4935445785522461
0,929,0.48833608627319336,0.44106602668762207
0,939,0.6668655276298523,0.7992434501647949
0,949,0.5410898923873901,0.4294891059398651
0,959,0.4598146677017212,0.3808959722518921
0,969,0.5366679430007935,0.4092346727848053
0,979,0.7669578194618225,1.242145299911499
0,989,0.4615277051925659,0.37738311290740967
0,999,0.517021656036377,0.4746318459510803
0,1009,0.39288073778152466,0.34897464513778687
0,1019,0.5115809440612793,0.5156039595603943
0,1029,0.6424573063850403,0.620612382888794
0,1039,0.6107580661773682,0.6173844337463379
0,1049,0.577971339225769,0.6089117527008057
0,1059,0.8103500604629517,0.922872006893158
0,1069,0.5579465627670288,0.5166929364204407
0,1079,0.46811625361442566,0.3475211262702942
0,1089,0.4721180498600006,0.38265228271484375
0,1099,0.6414058208465576,1.0386005640029907
0,1109,0.5513774156570435,0.6287505030632019
0,1119,0.6511818170547485,0.6432505249977112
0,1129,0.43789440393447876,0.32717862725257874
0,1139,0.608825147151947,0.8421471118927002
0,1149,0.5264283418655396,0.4495813846588135
0,1159,0.5745165348052979,0.5299281477928162
0,1169,0.5248808264732361,0.39841872453689575
0,1179,0.42666780948638916,0.322079062461853
0,1189,0.6222686767578125,0.5906423330307007
0,1199,0.4341121315956116,0.2871966063976288
0,1209,0.5834236145019531,0.46858787536621094
0,1219,0.655340313911438,0.680649995803833
0,1229,0.5928566455841064,0.5330871343612671
0,1239,0.6252084970474243,0.6064161658287048
0,1249,0.5016538500785828,0.4760770797729492
0,1259,0.5059795379638672,0.4727078080177307
0,1269,0.4879882037639618,0.36456891894340515
0,1279,0.6303102374076843,0.8253499865531921
0,1289,0.5951240658760071,0.5807456374168396
0,1299,0.6051804423332214,0.5226702094078064
0,1309,0.6019230484962463,0.5936373472213745
0,1319,0.4263598918914795,0.2884971797466278
0,1329,0.4155260920524597,0.238584965467453
0,1339,0.47510236501693726,0.36923152208328247
0,1349,0.3841801583766937,0.23746038973331451
0,1359,0.6486625075340271,1.1721556186676025
0,1369,0.609963595867157,0.5674110651016235
0,1379,0.5634086728096008,0.4777499735355377
0,1389,0.47592729330062866,0.4452946186065674
0,1399,0.817136824131012,0.9631648659706116
0,1409,0.925190806388855,1.5013065338134766
0,1419,0.8448911905288696,0.9337329864501953
0,1429,0.43477606773376465,0.2518117427825928
0,1439,0.5278380513191223,0.43242937326431274
0,1449,0.6479194760322571,0.6624200344085693
0,1459,0.5890859365463257,0.568069338798523
0,1469,0.5186269283294678,0.4002387523651123
0,1479,0.6314412355422974,0.6082594394683838
0,1489,0.4965862035751343,0.3797518312931061
0,1499,0.3537694811820984,0.2396705150604248
0,1509,0.5359538793563843,0.42172372341156006
0,1519,0.7643234729766846,0.7990589141845703
0,1529,0.468330055475235,0.3607581555843353
0,1539,0.5747269988059998,0.6981906890869141
0,1549,0.5137001276016235,0.3818863034248352
0,1559,0.5561814308166504,0.6093273162841797
0,1569,0.44300663471221924,0.31553682684898376
0,1579,0.7518119812011719,0.7825925350189209
0,1589,0.6111732125282288,0.668468713760376
0,1599,0.5398662686347961,0.44384995102882385
0,1609,0.5640479326248169,0.42728835344314575
0,1619,0.475913941860199,0.3350650668144226
0,1629,0.5374894738197327,0.4541417956352234
0,1639,0.4182966351509094,0.2436504364013672
0,1649,0.44449135661125183,0.3186277747154236
0,1659,0.7104311585426331,0.7315078377723694
0,1669,0.39610713720321655,0.2564904987812042
0,1679,0.48443207144737244,0.3652331531047821
0,1689,0.4145083427429199,0.2606433629989624
0,1699,0.5520889759063721,0.5182496309280396
0,1709,0.500727653503418,0.37083154916763306
0,1719,0.4043751358985901,0.2694700360298157
0,1729,0.462149977684021,0.30267173051834106
0,1739,0.5210831165313721,0.4840681850910187
0,1749,0.5189225673675537,0.44160160422325134
0,1759,0.5759082436561584,0.6753814816474915
0,1769,0.5865260362625122,0.5388500690460205
0,1779,0.47252488136291504,0.35241004824638367
0,1789,0.45279091596603394,0.28583991527557373
0,1799,0.5135620832443237,0.3756728172302246
0,1809,0.39964956045150757,0.25640034675598145
0,1819,0.3837808072566986,0.22963640093803406
0,1829,0.5539238452911377,0.5011622905731201
0,1839,0.5232215523719788,0.5634914040565491
0,1849,0.5935001969337463,0.5015265345573425
0,1859,0.4483258128166199,0.3511301577091217
0,1869,0.4976838231086731,0.46575552225112915
0,1879,0.4395671784877777,0.31579452753067017
0,1889,0.48867666721343994,0.34157371520996094
0,1899,0.46975982189178467,0.3368335962295532
0,1909,0.4035429358482361,0.25200074911117554
0,1919,0.4206402003765106,0.3167782723903656
0,1929,0.3979461193084717,0.3151419460773468
0,1939,0.406920850276947,0.2736300826072693
0,1949,0.4372572600841522,0.34106534719467163
0,1959,0.5443732142448425,0.40615299344062805
0,1969,0.5899667739868164,0.5733027458190918
0,1979,0.42049193382263184,0.3113633394241333
0,1989,0.44207656383514404,0.3781822919845581
0,1999,0.4189469814300537,0.27751386165618896
0,2009,0.42789581418037415,0.28597673773765564
0,2019,0.6248458623886108,0.5430071353912354
0,2029,0.6277453303337097,0.5167210102081299
0,2039,0.5822843909263611,0.4819256365299225
0,2049,0.4228477478027344,0.2731602191925049
0,2059,0.7824373841285706,0.751321017742157
0,2069,0.5123950242996216,0.4331243336200714
0,2079,0.5495384335517883,0.4541172981262207
0,2089,0.49697571992874146,0.40193450450897217
0,2099,0.5362686514854431,0.39668330550193787
0,2109,0.45426204800605774,0.3606452941894531
0,2119,0.5559955835342407,0.46473997831344604
0,2129,0.5253270268440247,0.5030650496482849
0,2139,0.5419692397117615,0.5777108073234558
0,2149,0.45853912830352783,0.32575348019599915
0,2159,0.3547762632369995,0.20457255840301514
0,2169,0.4466177225112915,0.3313940167427063
0,2179,0.3535206913948059,0.20243671536445618
0,2189,0.4817848801612854,0.33961039781570435
0,2199,0.8493931293487549,0.9136964082717896
0,2209,0.39235037565231323,0.2869257926940918
0,2219,0.5037369728088379,0.3526398837566376
0,2229,0.4049724340438843,0.3031851351261139
0,2239,0.3541637659072876,0.2033214271068573
0,2249,0.5653822422027588,0.4823644757270813
0,2259,0.3898324966430664,0.25786179304122925
0,2269,0.4423145651817322,0.33591708540916443
0,2279,0.42398858070373535,0.30855506658554077
0,2289,0.559380054473877,0.4411593973636627
0,2299,0.41389667987823486,0.274687796831131
0,2309,0.5903297662734985,0.5328465700149536
0,2319,0.5722496509552002,0.48460066318511963
0,2329,0.42021143436431885,0.24611100554466248
0,2339,0.38782447576522827,0.24093016982078552
0,2349,0.43430227041244507,0.3006635308265686
0,2359,0.48714300990104675,0.37964245676994324
0,2369,0.5442570447921753,0.44823402166366577
0,2379,0.46749022603034973,0.5239887237548828
0,2389,0.3819376826286316,0.23898252844810486
0,2399,0.5461925864219666,0.47603487968444824
0,2409,0.4697299599647522,0.2972263693809509
0,2419,0.6259926557540894,0.6188628077507019
0,2429,0.40098297595977783,0.23205402493476868
0,2439,0.516952633857727,0.4083307683467865
0,2449,0.28105172514915466,0.1304912269115448
0,2459,0.44431132078170776,0.30428963899612427
0,2469,0.4675857722759247,0.4911704957485199
0,2479,0.46307921409606934,0.32263222336769104
0,2489,0.5705934166908264,0.45182526111602783
0,2499,0.5544241070747375,0.44513267278671265
0,2509,0.6712071299552917,0.8214551210403442
0,2519,0.5780937671661377,0.4703349173069
0,2529,0.4419369101524353,0.2813221514225006
0,2539,0.3517208397388458,0.18682394921779633
0,2549,0.5758710503578186,0.5918775796890259
0,2559,0.5148338675498962,0.5183532238006592
0,2569,0.6180870532989502,0.6019905805587769
0,2579,0.4421812891960144,0.2845723628997803
0,2589,0.5332517027854919,0.46136346459388733
0,2599,0.651759922504425,0.5469440221786499
0,2609,0.39200931787490845,0.2742638885974884
0,2619,0.5840796232223511,1.1229575872421265
0,2629,0.3600912094116211,0.19336792826652527
0,2639,0.6009636521339417,0.5442639589309692
0,2649,0.5838289856910706,0.48162469267845154
0,2659,0.339013934135437,0.1720169484615326
0,2669,0.7729884386062622,0.7887332439422607
0,2679,0.43735620379447937,0.29995959997177124
0,2689,0.38661593198776245,0.2755003869533539
0,2699,0.4400328993797302,0.3679759204387665
0,2709,0.6142722368240356,0.5920923948287964
0,2719,0.34358713030815125,0.19733428955078125
0,2729,0.41819554567337036,0.3123391270637512
0,2739,0.4665759801864624,0.32954466342926025
0,2749,0.4056631326675415,0.26750147342681885
0,2759,0.39322173595428467,0.26767998933792114
0,2769,0.4433176517486572,0.3421500325202942
0,2779,0.4043921232223511,0.23596061766147614
0,2789,0.428629994392395,0.28065353631973267
0,2799,0.5560176968574524,0.4944221079349518
0,2809,0.6231611371040344,0.7034504413604736
0,2819,0.4080237150192261,0.376220703125
0,2829,0.8326557874679565,0.8323836326599121
0,2839,0.32217055559158325,0.14680823683738708
0,2849,0.4153362512588501,0.2777283787727356
0,2859,0.39484530687332153,0.22167009115219116
0,2869,0.5061458349227905,0.43635594844818115
0,2879,0.3981301188468933,0.21581819653511047
0,2889,0.47210240364074707,0.32516345381736755
0,2899,0.7938424348831177,0.9086290001869202
0,2909,0.43969589471817017,0.3162144720554352
0,2919,0.6914628744125366,0.7627311944961548
0,2929,0.4241415858268738,0.32571983337402344
0,2939,0.342989444732666,0.217788428068161
0,2949,0.3712104558944702,0.22296473383903503
0,2959,0.49505680799484253,0.3529321253299713
0,2969,0.32994014024734497,0.1889522522687912
0,2979,0.3983556032180786,0.2562716007232666
0,2989,0.48591768741607666,0.38378971815109253
0,2999,0.5391425490379333,0.5715609192848206
0,3009,0.3652331829071045,0.21237513422966003
0,3019,0.4794139862060547,0.3979317843914032
0,3029,0.35544490814208984,0.20953035354614258
0,3039,0.3901832699775696,0.24846217036247253
0,3049,0.4200199246406555,0.24605697393417358
0,3059,0.49592146277427673,0.5546390414237976
0,3069,0.4860696792602539,0.3826841115951538
0,3079,0.28980186581611633,0.12693944573402405
0,3089,0.41595250368118286,0.35353007912635803
0,3099,0.3375001549720764,0.16938276588916779
0,3109,0.47344762086868286,0.30818116664886475
0,3119,0.4635190963745117,0.2945515811443329
0,3129,0.5205052495002747,0.7977207899093628
0,3139,0.5539982318878174,0.44359418749809265
0,3149,0.28654563426971436,0.1250220686197281
0,3159,0.458082914352417,0.30211806297302246
0,3169,0.4170532524585724,0.27793118357658386
0,3179,0.33880358934402466,0.17816536128520966
0,3189,0.40339189767837524,0.2507583498954773
0,3199,0.4442984163761139,0.3778318166732788
0,3209,0.3802618980407715,0.2543054223060608
0,3219,0.4403935372829437,0.28010180592536926
0,3229,0.4593626856803894,0.45392906665802
0,3239,0.33052271604537964,0.17090386152267456
0,3249,0.45116525888442993,0.31464624404907227
0,3259,0.347023069858551,0.18350322544574738
0,3269,0.2668963074684143,0.12476912885904312
0,3279,0.33882224559783936,0.20802704989910126
0,3289,0.32141026854515076,0.16818499565124512
0,3299,0.4542149603366852,0.30001211166381836
0,3309,0.4283254146575928,0.266559362411499
0,3319,0.403156042098999,0.2411457598209381
0,3329,0.36325788497924805,0.20642918348312378
0,3339,0.40747857093811035,0.25965389609336853
0,3349,0.49291712045669556,0.352708637714386
0,3359,0.33628708124160767,0.18858952820301056
0,3369,0.521492600440979,0.41493842005729675
0,3379,0.3109750747680664,0.14659152925014496
0,3389,0.32972705364227295,0.19663669168949127
0,3399,0.3458945155143738,0.18269577622413635
0,3409,0.5744260549545288,0.5516447424888611
0,3419,0.6373487114906311,0.6348333358764648
0,3429,0.41365981101989746,0.23076024651527405
