model,n_train,epochs,best_val_mae,test_mae,test_mse,wall_seconds
dimenet_pp,1000,200,0.29924502182006835,0.2999105972766876,0.16722741718292236,540.23615026474
dimenet_pp,3000,150,0.18981799943447114,0.19245861120223998,0.07352828706502915,530.9185388088226
dimenet_pp,10000,120,0.12287080838680267,0.12480417385101318,0.031877528449893,783.3547158241272
dimenet_pp,30000,100,0.08370115888118744,0.08511829595565795,0.01541219727396965,1509.5225462913513
dimenet_pp,110831,80,0.05049527587890625,0.05052708615064621,0.005826438668370247,3985.096990585327
