epoch,step,train_gap_MAE,train_loss,val_gap_MAE,val_loss
0,9,6.409909248352051,50.76506042480469,,
0,19,4.52038049697876,22.603473663330078,,
0,29,1.447587490081787,2.8334896564483643,,
0,39,1.2120189666748047,2.547252893447876,,
0,49,1.18485689163208,1.887939691543579,,
0,59,0.7901713848114014,1.2312264442443848,,
0,69,0.7409006953239441,0.7778306007385254,,
0,79,0.7091631293296814,0.69985032081604,,
0,89,0.8441511392593384,1.6607847213745117,,
0,99,0.9405540227890015,1.4172072410583496,,
0,109,1.0191799402236938,1.7998158931732178,,
0,119,1.0028386116027832,1.6976630687713623,,
0,129,0.7244390845298767,0.8770029544830322,,
0,139,0.5875330567359924,0.6114975214004517,,
0,149,0.7767979502677917,1.2502278089523315,,
0,159,0.780502200126648,0.9584261178970337,,
0,169,0.6854507923126221,0.7810508012771606,,
0,179,0.6898738145828247,0.6920044422149658,,
0,189,0.7908892631530762,0.9447574019432068,,
0,199,0.6974242329597473,0.7434368133544922,,
0,209,0.597498893737793,0.5651072263717651,,
0,219,0.49698561429977417,0.4124162793159485,,
0,229,0.5890934467315674,0.5193159580230713,,
0,239,0.6445813775062561,0.6822046041488647,,
0,249,0.6092180013656616,0.6344166398048401,,
0,259,0.5439456701278687,0.5824058055877686,,
0,269,0.6870479583740234,0.9986070394515991,,
0,279,0.5777618885040283,0.635290265083313,,
0,289,0.6013062596321106,0.5434112548828125,,
0,299,0.7035200595855713,0.982986330986023,,
0,309,0.5988059639930725,0.5199078917503357,,
0,319,0.6392897367477417,0.7072839736938477,,
0,329,0.708145022392273,0.899065375328064,,
0,339,0.5791458487510681,0.5157244205474854,,
0,349,0.7935096025466919,1.208104133605957,,
0,359,0.7276159524917603,0.7147070169448853,,
0,369,0.4801587760448456,0.35344281792640686,,
0,379,0.6087958812713623,0.6467434167861938,,
0,389,0.5156735777854919,0.4465571343898773,,
0,399,0.5382575988769531,0.4625372290611267,,
0,409,0.509408175945282,0.4992070198059082,,
0,419,0.4901188015937805,0.5327638387680054,,
0,429,0.4740694463253021,0.37399864196777344,,
0,439,0.47556304931640625,0.44340696930885315,,
0,449,0.7250474691390991,0.7835423946380615,,
0,459,0.35906651616096497,0.24566107988357544,,
0,469,0.6100640892982483,0.5308645367622375,,
0,479,0.5612974166870117,0.5776904225349426,,
0,489,0.6926653981208801,0.8892478346824646,,
0,499,0.6557536125183105,0.6127511262893677,,
0,509,0.7052764892578125,0.7248866558074951,,
0,519,0.6085330843925476,0.5853970050811768,,
0,529,0.6159653067588806,0.5114602446556091,,
0,539,0.472816526889801,0.3247072696685791,,
0,549,0.6687425971031189,0.862739622592926,,
0,559,0.5390071272850037,0.4416857361793518,,
0,569,0.6037279367446899,0.5913130044937134,,
0,579,0.4652263820171356,0.3414447009563446,,
0,589,0.7540581822395325,1.1237032413482666,,
0,599,0.5798394680023193,0.5230966210365295,,
0,609,0.49829643964767456,0.3828190565109253,,
0,619,0.6293435096740723,0.7722792625427246,,
0,629,0.6282184720039368,0.5934383869171143,,
0,639,0.5961428880691528,0.5711666345596313,,
0,649,0.7636642456054688,0.7686768770217896,,
0,659,0.6344436407089233,0.9536619782447815,,
0,669,0.8625463247299194,1.1524490118026733,,
0,679,0.576471209526062,0.5052254796028137,,
0,689,0.5762944221496582,0.4507317543029785,,
0,699,0.7723426818847656,0.838715672492981,,
0,709,0.5635703802108765,0.4822598695755005,,
0,719,0.4066022038459778,0.28442296385765076,,
0,729,0.622645378112793,0.590750515460968,,
0,739,0.7501534223556519,0.8344161510467529,,
0,749,0.6770317554473877,0.7434983253479004,,
0,759,0.4919096827507019,0.39174699783325195,,
0,769,0.3369736671447754,0.1782468855381012,,
0,779,0.7195063829421997,0.7331898212432861,,
0,789,0.5588221549987793,0.5054744482040405,,
0,799,0.5626336336135864,0.4682290554046631,,
0,809,0.5877555012702942,0.6282682418823242,,
0,819,0.812443733215332,1.1740185022354126,,
0,829,0.4778147339820862,0.4079723358154297,,
0,839,0.6134915947914124,0.6227094531059265,,
0,849,0.5048433542251587,0.3687017560005188,,
0,859,0.692101776599884,0.6547965407371521,,
0,869,0.5621252059936523,0.5126854181289673,,
0,879,0.41333216428756714,0.2822425961494446,,
0,889,0.5023815631866455,0.3978005051612854,,
0,899,0.5657544136047363,0.47436997294425964,,
0,909,0.7597625255584717,0.8492310643196106,,
0,919,0.514635443687439,0.3604978919029236,,
0,929,0.6619207859039307,0.7278052568435669,,
0,939,0.541539192199707,0.48709526658058167,,
0,949,0.4978119134902954,0.4183127284049988,,
0,959,0.7057079672813416,0.8588120937347412,,
0,969,0.5674847960472107,0.484421968460083,,
0,979,0.6457436084747314,0.7172982692718506,,
0,989,0.46932828426361084,0.3176809549331665,,
0,999,0.5464850664138794,0.47400060296058655,,
0,1009,0.4226912260055542,0.2771640419960022,,
0,1019,0.5756511688232422,0.4824610948562622,,
0,1029,0.6448276042938232,0.7102221250534058,,
0,1039,0.7141226530075073,0.8726014494895935,,
0,1049,0.5326626300811768,0.38501936197280884,,
0,1059,0.7901995182037354,0.8529267907142639,,
0,1069,0.45709264278411865,0.3066134452819824,,
0,1079,0.40768635272979736,0.3147833049297333,,
0,1089,0.6290914416313171,0.5710487365722656,,
0,1099,0.5310323238372803,0.6346357464790344,,
0,1109,0.46579456329345703,0.35465946793556213,,
0,1119,0.543304443359375,0.45212942361831665,,
0,1129,0.5059967637062073,0.39588654041290283,,
0,1139,0.6063451766967773,0.5099900364875793,,
0,1149,0.5699472427368164,0.49476030468940735,,
0,1159,0.4953688383102417,0.3485991358757019,,
0,1169,0.5492811799049377,0.4503173232078552,,
0,1179,0.6077929735183716,0.5450199842453003,,
0,1189,0.6225407123565674,0.5065345764160156,,
0,1199,0.5056635737419128,0.424235463142395,,
0,1209,0.5243737101554871,0.5269550085067749,,
0,1219,0.5934561491012573,0.6879474520683289,,
0,1229,0.5964356660842896,0.5924261808395386,,
0,1239,0.5809470415115356,0.5710599422454834,,
0,1249,0.5307573080062866,0.38791805505752563,,
0,1259,0.6787134408950806,0.6923031806945801,,
0,1269,0.44200748205184937,0.25429975986480713,,
0,1279,0.4026618003845215,0.30634236335754395,,
0,1289,0.48272505402565,0.3107752501964569,,
0,1299,0.5016850829124451,0.40955376625061035,,
0,1309,0.5489356517791748,0.45706111192703247,,
0,1319,0.7081054449081421,0.7386447787284851,,
0,1329,0.5496501922607422,0.45477837324142456,,
0,1339,0.4813709855079651,0.35322698950767517,,
0,1349,0.6746270060539246,0.7382187843322754,,
0,1359,0.44298213720321655,0.35854557156562805,,
0,1369,0.4745304584503174,0.3447532653808594,,
0,1379,0.40454161167144775,0.2598252594470978,,
0,1389,0.5964670181274414,0.5333598852157593,,
0,1399,0.5020467638969421,0.44502925872802734,,
0,1409,0.4491015374660492,0.3007596731185913,,
0,1419,0.6393739581108093,0.6241744756698608,,
0,1429,0.5911598801612854,0.5395385026931763,,
0,1439,0.4609445035457611,0.40877765417099,,
0,1449,0.5351448059082031,0.4507956802845001,,
0,1459,0.45258480310440063,0.3168240785598755,,
0,1469,0.6156812310218811,0.5848274230957031,,
0,1479,0.4897509515285492,0.37883666157722473,,
0,1489,0.5055392980575562,0.41349905729293823,,
0,1499,0.4489361047744751,0.3010687232017517,,
0,1509,0.5274926424026489,0.42198872566223145,,
0,1519,0.5381179451942444,0.4206356406211853,,
0,1529,0.3739837408065796,0.2305491715669632,,
0,1539,0.5321700572967529,0.4655590057373047,,
0,1549,0.8006471395492554,0.8301349878311157,,
0,1559,0.48974525928497314,0.3836826980113983,,
0,1569,0.49024513363838196,0.35245153307914734,,
0,1579,0.522057294845581,0.38043326139450073,,
