epoch,train_mse,val_mse,val_mae
1,0.1762480290749958,0.16365020532608032,0.3025078989505768
2,0.10925833552461625,0.1308966991186142,0.267601105594635
3,0.09395213231881723,0.1399916069149971,0.2908203465461731
4,0.08315902625485844,0.11392732520103455,0.25712651753425597
5,0.07630461531383927,0.1105554707288742,0.25424137773513794
6,0.07069490507838389,0.09625434724092484,0.23526894612312316
7,0.06681573944757763,0.08503248271346092,0.2211291965007782
8,0.0640127494685313,0.09103944084644318,0.22984997344017027
9,0.06071348239962469,0.09394677511453628,0.22771238188743592
10,0.058978741986976724,0.08858865129947663,0.22840389823913573
11,0.05660383865484488,0.08157580939531327,0.21793965315818786
12,0.05511470183408388,0.07528695530891419,0.20885705246925354
13,0.05335446723469545,0.07536291442513465,0.2065893940448761
14,0.052101690385688064,0.07184187005758286,0.2017052260875702
15,0.05060480055899769,0.08067862549424172,0.21482402753829957
16,0.04934191476489513,0.06627925341129302,0.1943189736366272
17,0.04859412974631923,0.06904600918293,0.1992422842502594
18,0.047199663700922316,0.08101006410717965,0.21312803812026979
19,0.04653790482898772,0.06870396363735198,0.1973427982568741
20,0.04541991316373312,0.06806945875883103,0.1942273192882538
21,0.044464347444426226,0.06366470015645027,0.19064578790664674
22,0.04397414289293542,0.06457170255184173,0.1926312889099121
23,0.0432813553883123,0.06483502488732339,0.19109086322784424
24,0.042305492048675244,0.0647451664030552,0.19003090376853943
25,0.04162146662277729,0.06714542337656021,0.19504202408790589
26,0.04087953332017435,0.06100141735672951,0.18478214745521546
27,0.04022027643866023,0.062281507730484006,0.18542989428043366
28,0.040127413682646655,0.05929293231368065,0.18065742175579072
29,0.03929902382007506,0.060279955267906186,0.18354642693996429
30,0.038835605192450225,0.05941706265807152,0.18277885284423828
31,0.03821290586706369,0.05713784213066101,0.17861678197383882
32,0.038080886438139526,0.06186748188734054,0.18718699097633362
33,0.03744449251515929,0.057187662321329116,0.17771430780887604
34,0.03704828617027318,0.058048629915714266,0.183335422706604
35,0.03663576131343235,0.05268545141220093,0.17228012962341308
36,0.03629209498441773,0.05515452827215195,0.17610477316379547
37,0.03610561522873963,0.05277782009243965,0.17152119500637056
38,0.0353101905448567,0.053445076900720596,0.1733733123779297
39,0.03507977671344264,0.05329392607808113,0.17333108773231506
40,0.034937519847932204,0.051703460347652434,0.17092031815052033
41,0.034582755677856125,0.05451306493282318,0.17456572968959808
42,0.03401437963012069,0.05158409250378609,0.16952656676769257
43,0.03357542292766719,0.05062626000642777,0.16850088806152344
44,0.03387468142642662,0.055929802650213245,0.1775452054977417
45,0.03337560940692426,0.05662851822376251,0.1801458705663681
46,0.032866178315373085,0.053629073989391325,0.17574807226657868
47,0.03274611256547901,0.05533763741254807,0.1739253748178482
48,0.03247250161701411,0.050339578461647036,0.16665061295032502
49,0.032273534629005396,0.04973366344571114,0.16591871206760406
50,0.03187835265792879,0.04946558238863945,0.1665730614423752
51,0.03158188735819558,0.04956534366607666,0.1664785926580429
52,0.031429846403401136,0.04625126188993454,0.15994359152317048
53,0.03128361491595721,0.04801747247576713,0.16438619730472565
54,0.031059789163817277,0.04830875216722488,0.16436984162330628
55,0.030802075583459012,0.047144681745767594,0.1615421414375305
56,0.030585489558774243,0.04750409608483314,0.1629802253961563
57,0.030360261174536385,0.048975095921754835,0.16527693207263947
58,0.030158613073409824,0.04959070022702217,0.16621853597164155
59,0.030103734591760772,0.045698015674948696,0.1601660544157028
60,0.02981787006858195,0.046566880691051485,0.16053377964496612
61,0.02952341264064088,0.047352966624498366,0.16180875816345214
62,0.029287560170608653,0.04636367601156235,0.16025064511299134
63,0.029270411620306278,0.04411995231509209,0.15790349357128144
64,0.02916150235476323,0.04955132119655609,0.1686077151298523
65,0.028774018691096966,0.04796167865991592,0.1638076094865799
66,0.02881339388701688,0.047724144333601,0.1632696476459503
67,0.028692763936712315,0.04921545009016991,0.1654793610095978
68,0.02836724162765119,0.043186833134293556,0.15467195920944213
69,0.028354963664018202,0.04559142328798771,0.15869724583625794
70,0.028124853340119785,0.04370028951466084,0.15500231621265412
71,0.02797811144859532,0.04468196519613266,0.15696902260780335
72,0.028002106502266703,0.04631371258497238,0.1622399111032486
73,0.027725214536597268,0.043458931702375414,0.15526115255355835
74,0.027718079110598412,0.04600497272014618,0.1593368867635727
75,0.02739909950363552,0.04312616056203842,0.15591290516853332
76,0.027347435032064896,0.04708913168311119,0.16167395384311675
77,0.02696323528034911,0.04340611118078232,0.15547046492099761
78,0.02720108049201135,0.04361732030510902,0.1552765416622162
79,0.026678473127024902,0.043720602631568906,0.1556029269695282
80,0.02682486111255936,0.04202411980330944,0.15237106778621673
81,0.026512423645183622,0.040910111385583876,0.1505124653816223
82,0.026504159425141314,0.04305385743975639,0.15608699901103973
83,0.026373824449563026,0.043180516386032104,0.15343793287277221
84,0.02608332654423266,0.04461706011891365,0.15561936469078064
85,0.02618943774063937,0.044027885192632676,0.15567211692333222
86,0.025932904311700426,0.04208283097743988,0.15247540891170502
87,0.02609401748372956,0.04251025359630585,0.15366927280426027
88,0.025832906889041385,0.04362261462211609,0.15706705276966096
89,0.025710519786366393,0.0443724909901619,0.15905165305137633
90,0.025532137522755148,0.04193530666232109,0.15202893760204314
91,0.02550869737613341,0.040234444254636764,0.14965470151901245
92,0.025441080992268227,0.04185420229434967,0.15203584883213042
93,0.02537176020864871,0.044311081606149674,0.15721218407154083
94,0.025166325492466928,0.040603353148698805,0.149577694606781
